iter,time,position,Fnet,Fr,Fd,Fg,a,v,mass
0,0,0,0
1,0.035000,0.001623,0.115617,1.400000,0.000000,-1.284383,0.883069,0.030907,0.130926
2,0.070000,0.024619,1.536734,2.800000,0.000771,-1.264037,11.926366,0.448330,0.128852
3,0.105000,0.083316,2.967156,4.200000,0.010846,-1.243690,23.404389,1.267484,0.126778
4,0.140000,0.192592,4.405452,5.600000,0.028795,-1.223343,35.327355,2.503941,0.124704
5,0.175000,0.367862,5.848316,7.000000,0.051313,-1.202997,47.690892,4.173122,0.122630
6,0.210000,0.625040,7.290331,8.400000,0.072981,-1.182650,60.472793,6.289670,0.120556
7,0.245000,0.980473,8.723731,9.800000,0.086034,-1.162303,73.629485,8.866702,0.118481
8,0.280000,1.313509,1.438198,2.500000,0.080154,-1.141957,12.354865,9.299122,0.116407
9,0.315000,1.662366,1.455215,2.500000,0.076825,-1.121610,12.727832,9.744597,0.114333
10,0.350000,2.027512,1.471429,2.500000,0.072692,-1.101263,13.107415,10.203356,0.112259
11,0.385000,2.409423,1.486772,2.500000,0.067689,-1.080917,13.493393,10.675625,0.110185
12,0.420000,2.808585,1.501176,2.500000,0.061746,-1.060570,13.885497,11.161617,0.108111
13,0.455000,3.225487,1.514570,2.500000,0.054793,-1.040223,14.283406,11.661536,0.106037
14,0.490000,3.660628,1.526877,2.500000,0.046754,-1.019877,14.686742,12.175572,0.103963
15,0.525000,4.114510,1.538019,2.500000,0.037549,-0.999530,15.095062,12.703900,0.101889
16,0.560000,4.587642,1.547914,2.500000,0.027097,-0.979183,15.507857,13.246675,0.099815
17,0.595000,5.080537,1.556476,2.500000,0.015313,-0.958837,15.924540,13.804033,0.097741
18,0.630000,5.593711,1.563618,2.500000,0.002108,-0.938490,16.344443,14.376089,0.095667
19,0.665000,6.127684,1.569249,2.500000,-0.012607,-0.918143,16.766812,14.962927,0.093593
20,0.700000,6.632789,-0.941257,0.000000,-0.028927,-0.912330,-10.121047,14.608691,0.093000
21,0.735000,7.125693,-0.931258,0.000000,-0.018928,-0.912330,-10.013523,14.258217,0.093000
22,0.770000,7.606517,-0.921809,0.000000,-0.009479,-0.912330,-9.911922,13.911300,0.093000
23,0.805000,8.075376,-0.912891,0.000000,-0.000561,-0.912330,-9.816034,13.567739,0.093000
