iter,time,position,Fnet,Fr,Fd,Fg,a,v,mass
64,1.920000,33.648799,-0.918342,0.000000,-0.006012,-0.912330,-9.874650,13.829120,0.093000
65,1.950000,34.050451,-0.910842,0.000000,0.001488,-0.912330,-9.794002,13.535300,0.093000
66,1.980000,34.443391,-0.903715,0.000000,0.008615,-0.912330,-9.717369,13.243779,0.093000
67,2.010000,34.827684,-0.896951,0.000000,0.015379,-0.912330,-9.644638,12.954440,0.093000
68,2.040000,35.203390,-0.890541,0.000000,0.021789,-0.912330,-9.575705,12.667169,0.093000
69,2.070000,35.570566,-0.884474,0.000000,0.027856,-0.912330,-9.510470,12.381855,0.093000
70,2.100000,35.929266,-0.878742,0.000000,0.033588,-0.912330,-9.448841,12.098389,0.093000
71,2.130000,36.279540,-0.873338,0.000000,0.038992,-0.912330,-9.390732,11.816667,0.093000
72,2.160000,36.621436,-0.868254,0.000000,0.044076,-0.912330,-9.336063,11.536586,0.093000
73,2.190000,36.955000,-0.863482,0.000000,0.048848,-0.912330,-9.284757,11.258043,0.093000
74,2.220000,37.280271,-0.859017,0.000000,0.053313,-0.912330,-9.236745,10.980941,0.093000
75,2.250000,37.597290,-0.854852,0.000000,0.057478,-0.912330,-9.191961,10.705182,0.093000
76,2.280000,37.906093,-0.850982,0.000000,0.061348,-0.912330,-9.150345,10.430671,0.093000
77,2.310000,38.206712,-0.847401,0.000000,0.064929,-0.912330,-9.111841,10.157316,0.093000
78,2.340000,38.499178,-0.844105,0.000000,0.068225,-0.912330,-9.076398,9.885024,0.093000
79,2.370000,38.783520,-0.841089,0.000000,0.071241,-0.912330,-9.043968,9.613705,0.093000
80,2.400000,39.059761,-0.838349,0.000000,0.073981,-0.912330,-9.014509,9.343270,0.093000
81,2.430000,39.327926,-0.835882,0.000000,0.076448,-0.912330,-8.987982,9.073630,0.093000
82,2.460000,39.588033,-0.833685,0.000000,0.078645,-0.912330,-8.964351,8.804700,0.093000
83,2.490000,39.840100,-0.831753,0.000000,0.080577,-0.912330,-8.943585,8.536392,0.093000
84,2.520000,40.084142,-0.830086,0.000000,0.082244,-0.912330,-8.925658,8.268623,0.093000
85,2.550000,40.320171,-0.828681,0.000000,0.083649,-0.912330,-8.910545,8.001306,0.093000
86,2.580000,40.548198,-0.827535,0.000000,0.084795,-0.912330,-8.898225,7.734359,0.093000
87,2.610000,40.768229,-0.826648,0.000000,0.085682,-0.912330,-8.888684,7.467699,0.093000
88,2.640000,40.980269,-0.826017,0.000000,0.086313,-0.912330,-8.881906,7.201242,0.093000
89,2.670000,41.184321,-0.825643,0.000000,0.086687,-0.912330,-8.877883,6.934905,0.093000
90,2.700000,41.380385,-0.825525,0.000000,0.086805,-0.912330,-8.876609,6.668607,0.093000
91,2.730000,41.568458,-0.825661,0.000000,0.086669,-0.912330,-8.878080,6.402265,0.093000
92,2.760000,41.748535,-0.826054,0.000000,0.086276,-0.912330,-8.882296,6.135796,0.093000
93,2.790000,41.920608,-0.826701,0.000000,0.085629,-0.912330,-8.889263,5.869118,0.093000
94,2.820000,42.084668,-0.827606,0.000000,0.084724,-0.912330,-8.898987,5.602148,0.093000
95,2.850000,42.240702,-0.828768,0.000000,0.083562,-0.912330,-8.911480,5.334804,0.093000
96,2.880000,42.388695,-0.830188,0.000000,0.082142,-0.912330,-8.926754,5.067001,0.093000
97,2.910000,42.528630,-0.831869,0.000000,0.080461,-0.912330,-8.944829,4.798656,0.093000
98,2.940000,42.660486,-0.833812,0.000000,0.078518,-0.912330,-8.965724,4.529685,0.093000
99,2.970000,42.784240,-0.836020,0.000000,0.076310,-0.912330,-8.989466,4.260001,0.093000
100,3.000000,42.899869,-0.838496,0.000000,0.073834,-0.912330,-9.016083,3.989518,0.093000
101,3.030000,43.007343,-0.841241,0.000000,0.071089,-0.912330,-9.045605,3.718150,0.093000
102,3.060000,43.106632,-0.844261,0.000000,0.068069,-0.912330,-9.078071,3.445808,0.093000
103,3.090000,43.197703,-0.847557,0.000000,0.064773,-0.912330,-9.113519,3.172402,0.093000
104,3.120000,43.280520,-0.851135,0.000000,0.061195,-0.912330,-9.151993,2.897842,0.093000
105,3.150000,43.355044,-0.854999,0.000000,0.057331,-0.912330,-9.193542,2.622036,0.093000
106,3.180000,43.421233,-0.859154,0.000000,0.053176,-0.912330,-9.238218,2.344890,0.093000
107,3.210000,43.479043,-0.863605,0.000000,0.048725,-0.912330,-9.286076,2.066307,0.093000
108,3.240000,43.528428,-0.868358,0.000000,0.043972,-0.912330,-9.337179,1.786192,0.093000
109,3.270000,43.569335,-0.873418,0.000000,0.038912,-0.912330,-9.391592,1.504444,0.093000
110,3.300000,43.601711,-0.878793,0.000000,0.033537,-0.912330,-9.449386,1.220963,0.093000
111,3.330000,43.625501,-0.884489,0.000000,0.027841,-0.912330,-9.510637,0.935644,0.093000
112,3.360000,43.640643,-0.890515,0.000000,0.021815,-0.912330,-9.575427,0.648381,0.093000
113,3.390000,43.647076,-0.896877,0.000000,0.015453,-0.912330,-9.643841,0.359066,0.093000
114,3.420000,43.644731,-0.903585,0.000000,0.008745,-0.912330,-9.715972,0.067586,0.093000
115,3.450000,43.633539,-0.910649,0.000000,0.001681,-0.912330,-9.791920,-0.226171,0.093000
