iter,time,position,Fnet,Fr,Fd,Fg,a,v,mass
0,0,0,0
1,0.020000,0.002533,0.558691,1.857143,0.000000,-1.298452,4.220998,0.084420,0.132360
2,0.040000,0.015264,2.424210,3.714286,0.002098,-1.292173,18.404268,0.452505,0.131720
3,0.060000,0.043980,4.296478,5.571429,0.010944,-1.285895,32.777524,1.108056,0.131080
4,0.080000,0.094543,6.174446,7.428571,0.025491,-1.279616,47.335529,2.054766,0.130440
5,0.100000,0.172877,8.056146,9.285714,0.043769,-1.273338,62.065838,3.296083,0.129800
6,0.120000,0.284968,9.938644,11.142857,0.062847,-1.267060,76.948313,4.835049,0.129160
7,0.140000,0.436842,11.818015,13.000000,0.078796,-1.260781,91.954678,6.674143,0.128520
8,0.160000,0.581267,2.332171,3.500000,0.086674,-1.254503,18.237185,7.038887,0.127880
9,0.180000,0.733072,2.338565,3.500000,0.086790,-1.248224,18.379166,7.406470,0.127240
10,0.200000,0.892313,2.344475,3.500000,0.086421,-1.241946,18.518762,7.776845,0.126600
11,0.220000,1.059043,2.349891,3.500000,0.085558,-1.235668,18.655849,8.149962,0.125960
12,0.240000,1.233317,2.354800,3.500000,0.084190,-1.229389,18.790301,8.525768,0.125320
13,0.260000,1.415185,2.359194,3.500000,0.082305,-1.223111,18.921990,8.904208,0.124680
14,0.280000,1.604700,2.363060,3.500000,0.079892,-1.216832,19.050790,9.285224,0.124040
15,0.300000,1.801910,2.366389,3.500000,0.076943,-1.210554,19.176571,9.668755,0.123400
16,0.320000,2.006865,2.369171,3.500000,0.073446,-1.204276,19.299207,10.054739,0.122760
17,0.340000,2.219611,2.371395,3.500000,0.069392,-1.197997,19.418566,10.443111,0.122120
18,0.360000,2.440194,2.373054,3.500000,0.064772,-1.191719,19.534521,10.833801,0.121480
19,0.380000,2.668658,2.374136,3.500000,0.059577,-1.185440,19.646941,11.226740,0.120840
20,0.400000,2.905046,2.374635,3.500000,0.053797,-1.179162,19.755699,11.621854,0.120200
21,0.420000,3.149400,2.374541,3.500000,0.047425,-1.172884,19.860666,12.019067,0.119560
22,0.440000,3.401758,2.373847,3.500000,0.040452,-1.166605,19.961715,12.418302,0.118920
23,0.460000,3.662159,2.372545,3.500000,0.032872,-1.160327,20.058718,12.819476,0.118280
24,0.480000,3.930640,2.370628,3.500000,0.024677,-1.154048,20.151550,13.222507,0.117640
25,0.500000,4.207234,2.368090,3.500000,0.015860,-1.147770,20.240087,13.627309,0.117000
26,0.520000,4.491975,2.364925,3.500000,0.006416,-1.141492,20.324207,14.033793,0.116360
27,0.540000,4.784893,2.361126,3.500000,-0.003660,-1.135213,20.403789,14.441869,0.115720
28,0.560000,5.086017,2.356690,3.500000,-0.014375,-1.128935,20.478713,14.851443,0.115080
29,0.580000,5.395376,2.351612,3.500000,-0.025732,-1.122656,20.548864,15.262420,0.114440
30,0.600000,5.712993,2.345888,3.500000,-0.037734,-1.116378,20.614129,15.674703,0.113800
31,0.620000,6.038891,2.339515,3.500000,-0.050386,-1.110100,20.674396,16.088191,0.113160
32,0.640000,6.373093,2.332490,3.500000,-0.063689,-1.103821,20.729557,16.502782,0.112520
