iter,time,position,Fnet,Fr,Fd,Fg,a,v,mass
0,0,0,0
1,0.020000,0.000677,0.149512,1.450000,0.000000,-1.300488,1.127819,0.022556,0.132568
2,0.040000,0.008413,1.604317,2.900000,0.000563,-1.296246,12.141489,0.265386,0.132135
3,0.060000,0.027681,3.064504,4.350000,0.006508,-1.292004,23.268348,0.730753,0.131703
4,0.080000,0.063000,4.529546,5.800000,0.017308,-1.287761,34.505500,1.420863,0.131270
5,0.100000,0.118925,5.998368,7.250000,0.031888,-1.283519,45.845824,2.337780,0.130838
6,0.120000,0.200047,7.469330,8.700000,0.048607,-1.279277,57.277764,3.483335,0.130405
7,0.140000,0.310985,8.940208,10.150000,0.065243,-1.275035,68.785131,4.859038,0.129973
8,0.160000,0.456373,10.408185,11.600000,0.078977,-1.270793,80.346930,6.465976,0.129541
9,0.180000,0.640855,11.869843,13.050000,0.086393,-1.266551,91.937239,8.304721,0.129108
10,0.200000,0.869065,13.321167,14.500000,0.083475,-1.262308,103.525134,10.375224,0.128676
11,0.220000,1.092044,3.307553,4.500000,0.065619,-1.258066,25.791245,10.891048,0.128243
12,0.240000,1.325380,3.304945,4.500000,0.058769,-1.253824,25.858104,11.408211,0.127811
13,0.260000,1.569095,3.301358,4.500000,0.050940,-1.249582,25.917729,11.926565,0.127378
14,0.280000,1.823208,3.296787,4.500000,0.042127,-1.245340,25.970007,12.445965,0.126946
15,0.300000,2.087736,3.291228,4.500000,0.032325,-1.241098,26.014833,12.966262,0.126514
16,0.320000,2.362693,3.284678,4.500000,0.021533,-1.236855,26.052109,13.487304,0.126081
17,0.340000,2.648088,3.277136,4.500000,0.009749,-1.232613,26.081746,14.008939,0.125649
18,0.360000,2.943929,3.268602,4.500000,-0.003027,-1.228371,26.103662,14.531012,0.125216
19,0.380000,3.250220,3.259076,4.500000,-0.016795,-1.224129,26.117783,15.053368,0.124784
20,0.400000,3.566962,3.248560,4.500000,-0.031553,-1.219887,26.124046,15.575849,0.124351
21,0.420000,3.894152,3.237059,4.500000,-0.047296,-1.215645,26.122395,16.098297,0.123919
22,0.440000,4.231786,3.224576,4.500000,-0.064022,-1.211402,26.112782,16.620552,0.123486
23,0.460000,4.579854,3.211117,4.500000,-0.081723,-1.207160,26.095171,17.142456,0.123054
24,0.480000,4.938345,3.196688,4.500000,-0.100393,-1.202918,26.069533,17.663846,0.122622
25,0.500000,5.307243,3.181300,4.500000,-0.120024,-1.198676,26.035851,18.184563,0.122189
26,0.520000,5.686531,3.164959,4.500000,-0.140607,-1.194434,25.994116,18.704446,0.121757
27,0.540000,6.076186,3.147678,4.500000,-0.162130,-1.190192,25.944329,19.223332,0.121324
28,0.560000,6.476185,3.129468,4.500000,-0.184582,-1.185949,25.886501,19.741062,0.120892
29,0.580000,6.886498,3.110342,4.500000,-0.207951,-1.181707,25.820654,20.257475,0.120459
30,0.600000,7.307096,3.090314,4.500000,-0.232221,-1.177465,25.746819,20.772412,0.120027
31,0.620000,7.737943,3.069400,4.500000,-0.257377,-1.173223,25.665037,21.285713,0.119595
32,0.640000,8.179003,3.047615,4.500000,-0.283404,-1.168981,25.575360,21.797220,0.119162
33,0.660000,8.630234,3.024978,4.500000,-0.310283,-1.164739,25.477848,22.306777,0.118730
34,0.680000,9.091593,3.001507,4.500000,-0.337997,-1.160496,25.372573,22.814228,0.118297
35,0.700000,9.563033,2.977221,4.500000,-0.366525,-1.156254,25.259615,23.319421,0.117865
36,0.720000,10.044505,2.952142,4.500000,-0.395846,-1.152012,25.139066,23.822202,0.117432
37,0.740000,10.535956,2.926290,4.500000,-0.425940,-1.147770,25.011025,24.322422,0.117000
38,0.760000,11.037330,2.899688,4.500000,-0.456784,-1.143528,24.875601,24.819934,0.116568
39,0.780000,11.548568,2.872360,4.500000,-0.488354,-1.139286,24.732913,25.314593,0.116135
40,0.800000,12.069610,2.844330,4.500000,-0.520627,-1.135044,24.583089,25.806254,0.115703
41,0.820000,12.600391,2.815622,4.500000,-0.553577,-1.130801,24.426264,26.294780,0.115270
42,0.840000,13.140844,2.786263,4.500000,-0.587178,-1.126559,24.262582,26.780031,0.114838
43,0.860000,13.690900,2.756278,4.500000,-0.621405,-1.122317,24.092197,27.261875,0.114405
44,0.880000,14.250486,2.725694,4.500000,-0.656231,-1.118075,23.915269,27.740181,0.113973
45,0.900000,14.819529,2.694540,4.500000,-0.691627,-1.113833,23.731965,28.214820,0.113541
46,0.920000,15.397951,2.662843,4.500000,-0.727566,-1.109591,23.542459,28.685669,0.113108
47,0.940000,15.985673,2.630632,4.500000,-0.764020,-1.105348,23.346935,29.152608,0.112676
48,0.960000,16.582612,2.597935,4.500000,-0.800959,-1.101106,23.145579,29.615519,0.112243
49,0.980000,17.188686,2.564782,4.500000,-0.838354,-1.096864,22.938585,30.074291,0.111811
50,1.000000,17.803807,2.531202,4.500000,-0.876176,-1.092622,22.726152,30.528814,0.111378
51,1.020000,18.427889,2.497225,4.500000,-0.914395,-1.088380,22.508487,30.978984,0.110946
52,1.040000,19.060840,2.462882,4.500000,-0.952981,-1.084138,22.285796,31.424700,0.110514
53,1.060000,19.702569,2.428201,4.500000,-0.991904,-1.079895,22.058295,31.865866,0.110081
54,1.080000,20.352982,2.393213,4.500000,-1.031133,-1.075653,21.826200,32.302390,0.109649
55,1.100000,21.011983,2.357949,4.500000,-1.070640,-1.071411,21.589731,32.734184,0.109216
56,1.120000,21.679476,2.322437,4.500000,-1.110394,-1.067169,21.349114,33.161167,0.108784
57,1.140000,22.355363,2.286709,4.500000,-1.150364,-1.062927,21.104574,33.583258,0.108351
58,1.160000,23.039542,2.250793,4.500000,-1.190522,-1.058685,20.856338,34.000385,0.107919
59,1.180000,23.731912,2.214720,4.500000,-1.230837,-1.054442,20.604637,34.412478,0.107486
60,1.200000,24.432371,2.178518,4.500000,-1.271282,-1.050200,20.349703,34.819472,0.107054
61,1.220000,25.140816,2.142217,4.500000,-1.311825,-1.045958,20.091765,35.221307,0.106622
62,1.240000,25.857141,2.105844,4.500000,-1.352440,-1.041716,19.831057,35.617928,0.106189
63,1.260000,26.581240,2.069428,4.500000,-1.393098,-1.037474,19.567810,36.009284,0.105757
64,1.280000,27.313007,2.032997,4.500000,-1.433771,-1.033232,19.302256,36.395329,0.105324
65,1.300000,28.052334,1.996578,4.500000,-1.474433,-1.028989,19.034624,36.776022,0.104892
66,1.320000,28.799114,1.960197,4.500000,-1.515056,-1.024747,18.765144,37.151325,0.104459
67,1.340000,29.553237,1.923880,4.500000,-1.555615,-1.020505,18.494043,37.521206,0.104027
68,1.360000,30.314594,1.887654,4.500000,-1.596083,-1.016263,18.221545,37.885637,0.103595
69,1.380000,31.083075,1.851541,4.500000,-1.636438,-1.012021,17.947874,38.244594,0.103162
70,1.400000,31.858571,1.815568,4.500000,-1.676653,-1.007779,17.673249,38.598059,0.102730
71,1.420000,32.640971,1.779757,4.500000,-1.716707,-1.003536,17.397886,38.946017,0.102297
72,1.440000,33.430164,1.744130,4.500000,-1.756576,-0.999294,17.121999,39.288457,0.101865
73,1.460000,34.226041,1.708710,4.500000,-1.796238,-0.995052,16.845797,39.625373,0.101432
74,1.480000,35.028490,1.673518,4.500000,-1.835672,-0.990810,16.569485,39.956762,0.101000
75,1.500000,35.837401,1.638574,4.500000,-1.874858,-0.986568,16.293265,40.282628,0.100568
76,1.520000,36.652664,1.603898,4.500000,-1.913776,-0.982326,16.017333,40.602974,0.100135
77,1.540000,37.474169,1.569508,4.500000,-1.952408,-0.978084,15.741881,40.917812,0.099703
78,1.560000,38.301806,1.535423,4.500000,-1.990736,-0.973841,15.467095,41.227154,0.099270
79,1.580000,39.135464,1.501659,4.500000,-2.028742,-0.969599,15.193158,41.531017,0.098838
80,1.600000,39.975037,1.468233,4.500000,-2.066410,-0.965357,14.920245,41.829422,0.098405
81,1.620000,40.820415,1.435160,4.500000,-2.103725,-0.961115,14.648527,42.122392,0.097973
82,1.640000,41.671489,1.402454,4.500000,-2.140673,-0.956873,14.378169,42.409956,0.097541
83,1.660000,42.528154,1.370131,4.500000,-2.177239,-0.952631,14.109332,42.692142,0.097108
84,1.680000,43.390302,1.338201,4.500000,-2.213411,-0.948388,13.842168,42.968986,0.096676
85,1.700000,44.257828,1.306678,4.500000,-2.249176,-0.944146,13.576825,43.240522,0.096243
86,1.720000,45.130626,1.275572,4.500000,-2.284524,-0.939904,13.313446,43.506791,0.095811
87,1.740000,46.008594,1.244894,4.500000,-2.319444,-0.935662,13.052165,43.767835,0.095378
88,1.760000,46.891626,1.214654,4.500000,-2.353926,-0.931420,12.793112,44.023697,0.094946
89,1.780000,47.779622,1.184860,4.500000,-2.387962,-0.927178,12.536411,44.274425,0.094514
90,1.800000,48.672480,1.155521,4.500000,-2.421544,-0.922935,12.282180,44.520069,0.094081
91,1.820000,49.570099,1.126643,4.500000,-2.454664,-0.918693,12.030529,44.760679,0.093649
92,1.840000,50.472382,1.098233,4.500000,-2.487316,-0.914451,11.781564,44.996310,0.093216
93,1.860000,51.350167,-3.431825,0.000000,-2.519495,-0.912330,-36.901339,44.258284,0.093000
94,1.880000,52.213838,-3.331705,0.000000,-2.419375,-0.912330,-35.824786,43.541788,0.093000
95,1.900000,53.063794,-3.236382,0.000000,-2.324052,-0.912330,-34.799811,42.845792,0.093000
96,1.920000,53.900416,-3.145557,0.000000,-2.233227,-0.912330,-33.823189,42.169328,0.093000
97,1.940000,54.724067,-3.058951,0.000000,-2.146621,-0.912330,-32.891944,41.511489,0.093000
98,1.960000,55.535095,-2.976309,0.000000,-2.063979,-0.912330,-32.003328,40.871423,0.093000
99,1.980000,56.333831,-2.897396,0.000000,-1.985066,-0.912330,-31.154797,40.248327,0.093000
100,2.000000,57.120591,-2.821992,0.000000,-1.909662,-0.912330,-30.343998,39.641447,0.093000
101,2.020000,57.895679,-2.749894,0.000000,-1.837564,-0.912330,-29.568748,39.050072,0.093000
102,2.040000,58.659384,-2.680913,0.000000,-1.768583,-0.912330,-28.827019,38.473531,0.093000
103,2.060000,59.411984,-2.614874,0.000000,-1.702544,-0.912330,-28.116929,37.911193,0.093000
104,2.080000,60.153746,-2.551616,0.000000,-1.639286,-0.912330,-27.436726,37.362458,0.093000
105,2.100000,60.884924,-2.490984,0.000000,-1.578654,-0.912330,-26.784779,36.826763,0.093000
106,2.120000,61.605764,-2.432840,0.000000,-1.520510,-0.912330,-26.159567,36.303571,0.093000
107,2.140000,62.316499,-2.377049,0.000000,-1.464719,-0.912330,-25.559671,35.792378,0.093000
108,2.160000,63.017357,-2.323490,0.000000,-1.411160,-0.912330,-24.983767,35.292702,0.093000
109,2.180000,63.708552,-2.272047,0.000000,-1.359717,-0.912330,-24.430615,34.804090,0.093000
110,2.200000,64.390295,-2.222612,0.000000,-1.310282,-0.912330,-23.899056,34.326109,0.093000
111,2.220000,65.062784,-2.175084,0.000000,-1.262754,-0.912330,-23.388005,33.858349,0.093000
112,2.240000,65.726213,-2.129369,0.000000,-1.217039,-0.912330,-22.896444,33.400420,0.093000
113,2.260000,66.380768,-2.085378,0.000000,-1.173048,-0.912330,-22.423419,32.951952,0.093000
114,2.280000,67.026626,-2.043027,0.000000,-1.130697,-0.912330,-21.968035,32.512591,0.093000
115,2.300000,67.663960,-2.002239,0.000000,-1.089909,-0.912330,-21.529448,32.082002,0.093000
116,2.320000,68.292936,-1.962939,0.000000,-1.050609,-0.912330,-21.106868,31.659865,0.093000
117,2.340000,68.913713,-1.925058,0.000000,-1.012728,-0.912330,-20.699549,31.245874,0.093000
118,2.360000,69.526447,-1.888531,0.000000,-0.976201,-0.912330,-20.306790,30.839738,0.093000
119,2.380000,70.131285,-1.853298,0.000000,-0.940968,-0.912330,-19.927930,30.441179,0.093000
120,2.400000,70.728371,-1.819298,0.000000,-0.906968,-0.912330,-19.562347,30.049932,0.093000
121,2.420000,71.317844,-1.786479,0.000000,-0.874149,-0.912330,-19.209450,29.665743,0.093000
122,2.440000,71.899838,-1.754788,0.000000,-0.842458,-0.912330,-18.868686,29.288370,0.093000
123,2.460000,72.474481,-1.724176,0.000000,-0.811846,-0.912330,-18.539529,28.917579,0.093000
124,2.480000,73.041900,-1.694598,0.000000,-0.782268,-0.912330,-18.221484,28.553149,0.093000
125,2.500000,73.602215,-1.666009,0.000000,-0.753679,-0.912330,-17.914080,28.194868,0.093000
126,2.520000,74.155542,-1.638369,0.000000,-0.726039,-0.912330,-17.616874,27.842530,0.093000
127,2.540000,74.701995,-1.611638,0.000000,-0.699308,-0.912330,-17.329445,27.495941,0.093000
